"Statistic","CensusYear","Sex","Age Last Birthday","At Each Year of Age","UNIT","VALUE"
"Population 2011 to 2016","2016","Both sexes","All ages","Population","Number","4761865"
"Population 2011 to 2016","2016","Both sexes","All ages","Population at or under this age","Number","4761865"
"Population 2011 to 2016","2016","Both sexes","All ages","Population at or over this age","Number","4761865"
"Population 2011 to 2016","2016","Both sexes","Under 1 year","Population","Number","62257"
"Population 2011 to 2016","2016","Both sexes","Under 1 year","Population at or under this age","Number","62257"
"Population 2011 to 2016","2016","Both sexes","Under 1 year","Population at or over this age","Number","4761865"
"Population 2011 to 2016","2016","Both sexes","1 year","Population","Number","64029"
"Population 2011 to 2016","2016","Both sexes","1 year","Population at or under this age","Number","126286"
"Population 2011 to 2016","2016","Both sexes","1 year","Population at or over this age","Number","4699608"
"Population 2011 to 2016","2016","Both sexes","2 years","Population","Number","66318"
"Population 2011 to 2016","2016","Both sexes","2 years","Population at or under this age","Number","192604"
"Population 2011 to 2016","2016","Both sexes","2 years","Population at or over this age","Number","4635579"
"Population 2011 to 2016","2016","Both sexes","3 years","Population","Number","68076"
"Population 2011 to 2016","2016","Both sexes","3 years","Population at or under this age","Number","260680"
"Population 2011 to 2016","2016","Both sexes","3 years","Population at or over this age","Number","4569261"
"Population 2011 to 2016","2016","Both sexes","4 years","Population","Number","70835"
"Population 2011 to 2016","2016","Both sexes","4 years","Population at or under this age","Number","331515"
"Population 2011 to 2016","2016","Both sexes","4 years","Population at or over this age","Number","4501185"
"Population 2011 to 2016","2016","Both sexes","5 years","Population","Number","72404"
"Population 2011 to 2016","2016","Both sexes","5 years","Population at or under this age","Number","403919"
"Population 2011 to 2016","2016","Both sexes","5 years","Population at or over this age","Number","4430350"
"Population 2011 to 2016","2016","Both sexes","6 years","Population","Number","72517"
"Population 2011 to 2016","2016","Both sexes","6 years","Population at or under this age","Number","476436"
"Population 2011 to 2016","2016","Both sexes","6 years","Population at or over this age","Number","4357946"
"Population 2011 to 2016","2016","Both sexes","7 years","Population","Number","72166"
"Population 2011 to 2016","2016","Both sexes","7 years","Population at or under this age","Number","548602"
"Population 2011 to 2016","2016","Both sexes","7 years","Population at or over this age","Number","4285429"
"Population 2011 to 2016","2016","Both sexes","8 years","Population","Number","71524"
"Population 2011 to 2016","2016","Both sexes","8 years","Population at or under this age","Number","620126"
"Population 2011 to 2016","2016","Both sexes","8 years","Population at or over this age","Number","4213263"
"Population 2011 to 2016","2016","Both sexes","9 years","Population","Number","66950"
"Population 2011 to 2016","2016","Both sexes","9 years","Population at or under this age","Number","687076"
"Population 2011 to 2016","2016","Both sexes","9 years","Population at or over this age","Number","4141739"
"Population 2011 to 2016","2016","Both sexes","10 years","Population","Number","64793"
"Population 2011 to 2016","2016","Both sexes","10 years","Population at or under this age","Number","751869"
"Population 2011 to 2016","2016","Both sexes","10 years","Population at or over this age","Number","4074789"
"Population 2011 to 2016","2016","Both sexes","11 years","Population","Number","64014"
"Population 2011 to 2016","2016","Both sexes","11 years","Population at or under this age","Number","815883"
"Population 2011 to 2016","2016","Both sexes","11 years","Population at or over this age","Number","4009996"
"Population 2011 to 2016","2016","Both sexes","12 years","Population","Number","64325"
"Population 2011 to 2016","2016","Both sexes","12 years","Population at or under this age","Number","880208"
"Population 2011 to 2016","2016","Both sexes","12 years","Population at or over this age","Number","3945982"
"Population 2011 to 2016","2016","Both sexes","13 years","Population","Number","63531"
"Population 2011 to 2016","2016","Both sexes","13 years","Population at or under this age","Number","943739"
"Population 2011 to 2016","2016","Both sexes","13 years","Population at or over this age","Number","3881657"
"Population 2011 to 2016","2016","Both sexes","14 years","Population","Number","62813"
"Population 2011 to 2016","2016","Both sexes","14 years","Population at or under this age","Number","1006552"
"Population 2011 to 2016","2016","Both sexes","14 years","Population at or over this age","Number","3818126"
"Population 2011 to 2016","2016","Both sexes","15 years","Population","Number","61643"
"Population 2011 to 2016","2016","Both sexes","15 years","Population at or under this age","Number","1068195"
"Population 2011 to 2016","2016","Both sexes","15 years","Population at or over this age","Number","3755313"
"Population 2011 to 2016","2016","Both sexes","16 years","Population","Number","60989"
"Population 2011 to 2016","2016","Both sexes","16 years","Population at or under this age","Number","1129184"
"Population 2011 to 2016","2016","Both sexes","16 years","Population at or over this age","Number","3693670"
"Population 2011 to 2016","2016","Both sexes","17 years","Population","Number","61318"
"Population 2011 to 2016","2016","Both sexes","17 years","Population at or under this age","Number","1190502"
"Population 2011 to 2016","2016","Both sexes","17 years","Population at or over this age","Number","3632681"
"Population 2011 to 2016","2016","Both sexes","18 years","Population","Number","61294"
"Population 2011 to 2016","2016","Both sexes","18 years","Population at or under this age","Number","1251796"
"Population 2011 to 2016","2016","Both sexes","18 years","Population at or over this age","Number","3571363"
"Population 2011 to 2016","2016","Both sexes","19 years","Population","Number","57572"
"Population 2011 to 2016","2016","Both sexes","19 years","Population at or under this age","Number","1309368"
"Population 2011 to 2016","2016","Both sexes","19 years","Population at or over this age","Number","3510069"
"Population 2011 to 2016","2016","Both sexes","20 years","Population","Number","56337"
"Population 2011 to 2016","2016","Both sexes","20 years","Population at or under this age","Number","1365705"
"Population 2011 to 2016","2016","Both sexes","20 years","Population at or over this age","Number","3452497"
"Population 2011 to 2016","2016","Both sexes","21 years","Population","Number","54397"
"Population 2011 to 2016","2016","Both sexes","21 years","Population at or under this age","Number","1420102"
"Population 2011 to 2016","2016","Both sexes","21 years","Population at or over this age","Number","3396160"
"Population 2011 to 2016","2016","Both sexes","22 years","Population","Number","54352"
"Population 2011 to 2016","2016","Both sexes","22 years","Population at or under this age","Number","1474454"
"Population 2011 to 2016","2016","Both sexes","22 years","Population at or over this age","Number","3341763"
"Population 2011 to 2016","2016","Both sexes","23 years","Population","Number","53935"
"Population 2011 to 2016","2016","Both sexes","23 years","Population at or under this age","Number","1528389"
"Population 2011 to 2016","2016","Both sexes","23 years","Population at or over this age","Number","3287411"
"Population 2011 to 2016","2016","Both sexes","24 years","Population","Number","54615"
"Population 2011 to 2016","2016","Both sexes","24 years","Population at or under this age","Number","1583004"
"Population 2011 to 2016","2016","Both sexes","24 years","Population at or over this age","Number","3233476"
"Population 2011 to 2016","2016","Both sexes","25 years","Population","Number","57278"
"Population 2011 to 2016","2016","Both sexes","25 years","Population at or under this age","Number","1640282"
"Population 2011 to 2016","2016","Both sexes","25 years","Population at or over this age","Number","3178861"
"Population 2011 to 2016","2016","Both sexes","26 years","Population","Number","56257"
"Population 2011 to 2016","2016","Both sexes","26 years","Population at or under this age","Number","1696539"
"Population 2011 to 2016","2016","Both sexes","26 years","Population at or over this age","Number","3121583"
"Population 2011 to 2016","2016","Both sexes","27 years","Population","Number","61652"
"Population 2011 to 2016","2016","Both sexes","27 years","Population at or under this age","Number","1758191"
"Population 2011 to 2016","2016","Both sexes","27 years","Population at or over this age","Number","3065326"
"Population 2011 to 2016","2016","Both sexes","28 years","Population","Number","59456"
"Population 2011 to 2016","2016","Both sexes","28 years","Population at or under this age","Number","1817647"
"Population 2011 to 2016","2016","Both sexes","28 years","Population at or over this age","Number","3003674"
"Population 2011 to 2016","2016","Both sexes","29 years","Population","Number","62792"
"Population 2011 to 2016","2016","Both sexes","29 years","Population at or under this age","Number","1880439"
"Population 2011 to 2016","2016","Both sexes","29 years","Population at or over this age","Number","2944218"
"Population 2011 to 2016","2016","Both sexes","30 years","Population","Number","68347"
"Population 2011 to 2016","2016","Both sexes","30 years","Population at or under this age","Number","1948786"
"Population 2011 to 2016","2016","Both sexes","30 years","Population at or over this age","Number","2881426"
"Population 2011 to 2016","2016","Both sexes","31 years","Population","Number","68334"
"Population 2011 to 2016","2016","Both sexes","31 years","Population at or under this age","Number","2017120"
"Population 2011 to 2016","2016","Both sexes","31 years","Population at or over this age","Number","2813079"
"Population 2011 to 2016","2016","Both sexes","32 years","Population","Number","71772"
"Population 2011 to 2016","2016","Both sexes","32 years","Population at or under this age","Number","2088892"
"Population 2011 to 2016","2016","Both sexes","32 years","Population at or over this age","Number","2744745"
"Population 2011 to 2016","2016","Both sexes","33 years","Population","Number","75704"
"Population 2011 to 2016","2016","Both sexes","33 years","Population at or under this age","Number","2164596"
"Population 2011 to 2016","2016","Both sexes","33 years","Population at or over this age","Number","2672973"
"Population 2011 to 2016","2016","Both sexes","34 years","Population","Number","77818"
"Population 2011 to 2016","2016","Both sexes","34 years","Population at or under this age","Number","2242414"
"Population 2011 to 2016","2016","Both sexes","34 years","Population at or over this age","Number","2597269"
"Population 2011 to 2016","2016","Both sexes","35 years","Population","Number","81545"
"Population 2011 to 2016","2016","Both sexes","35 years","Population at or under this age","Number","2323959"
"Population 2011 to 2016","2016","Both sexes","35 years","Population at or over this age","Number","2519451"
"Population 2011 to 2016","2016","Both sexes","36 years","Population","Number","83196"
"Population 2011 to 2016","2016","Both sexes","36 years","Population at or under this age","Number","2407155"
"Population 2011 to 2016","2016","Both sexes","36 years","Population at or over this age","Number","2437906"
"Population 2011 to 2016","2016","Both sexes","37 years","Population","Number","77184"
"Population 2011 to 2016","2016","Both sexes","37 years","Population at or under this age","Number","2484339"
"Population 2011 to 2016","2016","Both sexes","37 years","Population at or over this age","Number","2354710"
"Population 2011 to 2016","2016","Both sexes","38 years","Population","Number","74681"
"Population 2011 to 2016","2016","Both sexes","38 years","Population at or under this age","Number","2559020"
"Population 2011 to 2016","2016","Both sexes","38 years","Population at or over this age","Number","2277526"
"Population 2011 to 2016","2016","Both sexes","39 years","Population","Number","72815"
"Population 2011 to 2016","2016","Both sexes","39 years","Population at or under this age","Number","2631835"
"Population 2011 to 2016","2016","Both sexes","39 years","Population at or over this age","Number","2202845"
"Population 2011 to 2016","2016","Both sexes","40 years","Population","Number","73414"
"Population 2011 to 2016","2016","Both sexes","40 years","Population at or under this age","Number","2705249"
"Population 2011 to 2016","2016","Both sexes","40 years","Population at or over this age","Number","2130030"
"Population 2011 to 2016","2016","Both sexes","41 years","Population","Number","71974"
"Population 2011 to 2016","2016","Both sexes","41 years","Population at or under this age","Number","2777223"
"Population 2011 to 2016","2016","Both sexes","41 years","Population at or over this age","Number","2056616"
"Population 2011 to 2016","2016","Both sexes","42 years","Population","Number","71172"
"Population 2011 to 2016","2016","Both sexes","42 years","Population at or under this age","Number","2848395"
"Population 2011 to 2016","2016","Both sexes","42 years","Population at or over this age","Number","1984642"
"Population 2011 to 2016","2016","Both sexes","43 years","Population","Number","71288"
"Population 2011 to 2016","2016","Both sexes","43 years","Population at or under this age","Number","2919683"
"Population 2011 to 2016","2016","Both sexes","43 years","Population at or over this age","Number","1913470"
"Population 2011 to 2016","2016","Both sexes","44 years","Population","Number","69612"
"Population 2011 to 2016","2016","Both sexes","44 years","Population at or under this age","Number","2989295"
"Population 2011 to 2016","2016","Both sexes","44 years","Population at or over this age","Number","1842182"
"Population 2011 to 2016","2016","Both sexes","45 years","Population","Number","70457"
"Population 2011 to 2016","2016","Both sexes","45 years","Population at or under this age","Number","3059752"
"Population 2011 to 2016","2016","Both sexes","45 years","Population at or over this age","Number","1772570"
"Population 2011 to 2016","2016","Both sexes","46 years","Population","Number","67208"
"Population 2011 to 2016","2016","Both sexes","46 years","Population at or under this age","Number","3126960"
"Population 2011 to 2016","2016","Both sexes","46 years","Population at or over this age","Number","1702113"
"Population 2011 to 2016","2016","Both sexes","47 years","Population","Number","63640"
"Population 2011 to 2016","2016","Both sexes","47 years","Population at or under this age","Number","3190600"
"Population 2011 to 2016","2016","Both sexes","47 years","Population at or over this age","Number","1634905"
"Population 2011 to 2016","2016","Both sexes","48 years","Population","Number","62946"
"Population 2011 to 2016","2016","Both sexes","48 years","Population at or under this age","Number","3253546"
"Population 2011 to 2016","2016","Both sexes","48 years","Population at or over this age","Number","1571265"
"Population 2011 to 2016","2016","Both sexes","49 years","Population","Number","61859"
"Population 2011 to 2016","2016","Both sexes","49 years","Population at or under this age","Number","3315405"
"Population 2011 to 2016","2016","Both sexes","49 years","Population at or over this age","Number","1508319"
"Population 2011 to 2016","2016","Both sexes","50 years","Population","Number","61988"
"Population 2011 to 2016","2016","Both sexes","50 years","Population at or under this age","Number","3377393"
"Population 2011 to 2016","2016","Both sexes","50 years","Population at or over this age","Number","1446460"
"Population 2011 to 2016","2016","Both sexes","51 years","Population","Number","61798"
"Population 2011 to 2016","2016","Both sexes","51 years","Population at or under this age","Number","3439191"
"Population 2011 to 2016","2016","Both sexes","51 years","Population at or over this age","Number","1384472"
"Population 2011 to 2016","2016","Both sexes","52 years","Population","Number","60183"
"Population 2011 to 2016","2016","Both sexes","52 years","Population at or under this age","Number","3499374"
"Population 2011 to 2016","2016","Both sexes","52 years","Population at or over this age","Number","1322674"
"Population 2011 to 2016","2016","Both sexes","53 years","Population","Number","58907"
"Population 2011 to 2016","2016","Both sexes","53 years","Population at or under this age","Number","3558281"
"Population 2011 to 2016","2016","Both sexes","53 years","Population at or over this age","Number","1262491"
"Population 2011 to 2016","2016","Both sexes","54 years","Population","Number","57059"
"Population 2011 to 2016","2016","Both sexes","54 years","Population at or under this age","Number","3615340"
"Population 2011 to 2016","2016","Both sexes","54 years","Population at or over this age","Number","1203584"
"Population 2011 to 2016","2016","Both sexes","55 years","Population","Number","57256"
"Population 2011 to 2016","2016","Both sexes","55 years","Population at or under this age","Number","3672596"
"Population 2011 to 2016","2016","Both sexes","55 years","Population at or over this age","Number","1146525"
"Population 2011 to 2016","2016","Both sexes","56 years","Population","Number","54907"
"Population 2011 to 2016","2016","Both sexes","56 years","Population at or under this age","Number","3727503"
"Population 2011 to 2016","2016","Both sexes","56 years","Population at or over this age","Number","1089269"
"Population 2011 to 2016","2016","Both sexes","57 years","Population","Number","54459"
"Population 2011 to 2016","2016","Both sexes","57 years","Population at or under this age","Number","3781962"
"Population 2011 to 2016","2016","Both sexes","57 years","Population at or over this age","Number","1034362"
"Population 2011 to 2016","2016","Both sexes","58 years","Population","Number","52428"
"Population 2011 to 2016","2016","Both sexes","58 years","Population at or under this age","Number","3834390"
"Population 2011 to 2016","2016","Both sexes","58 years","Population at or over this age","Number","979903"
"Population 2011 to 2016","2016","Both sexes","59 years","Population","Number","51052"
"Population 2011 to 2016","2016","Both sexes","59 years","Population at or under this age","Number","3885442"
"Population 2011 to 2016","2016","Both sexes","59 years","Population at or over this age","Number","927475"
"Population 2011 to 2016","2016","Both sexes","60 years","Population","Number","49865"
"Population 2011 to 2016","2016","Both sexes","60 years","Population at or under this age","Number","3935307"
"Population 2011 to 2016","2016","Both sexes","60 years","Population at or over this age","Number","876423"
"Population 2011 to 2016","2016","Both sexes","61 years","Population","Number","49245"
"Population 2011 to 2016","2016","Both sexes","61 years","Population at or under this age","Number","3984552"
"Population 2011 to 2016","2016","Both sexes","61 years","Population at or over this age","Number","826558"
"Population 2011 to 2016","2016","Both sexes","62 years","Population","Number","47300"
"Population 2011 to 2016","2016","Both sexes","62 years","Population at or under this age","Number","4031852"
"Population 2011 to 2016","2016","Both sexes","62 years","Population at or over this age","Number","777313"
"Population 2011 to 2016","2016","Both sexes","63 years","Population","Number","47402"
"Population 2011 to 2016","2016","Both sexes","63 years","Population at or under this age","Number","4079254"
"Population 2011 to 2016","2016","Both sexes","63 years","Population at or over this age","Number","730013"
"Population 2011 to 2016","2016","Both sexes","64 years","Population","Number","45044"
"Population 2011 to 2016","2016","Both sexes","64 years","Population at or under this age","Number","4124298"
"Population 2011 to 2016","2016","Both sexes","64 years","Population at or over this age","Number","682611"
"Population 2011 to 2016","2016","Both sexes","65 years","Population","Number","44156"
"Population 2011 to 2016","2016","Both sexes","65 years","Population at or under this age","Number","4168454"
"Population 2011 to 2016","2016","Both sexes","65 years","Population at or over this age","Number","637567"
"Population 2011 to 2016","2016","Both sexes","66 years","Population","Number","43546"
"Population 2011 to 2016","2016","Both sexes","66 years","Population at or under this age","Number","4212000"
"Population 2011 to 2016","2016","Both sexes","66 years","Population at or over this age","Number","593411"
"Population 2011 to 2016","2016","Both sexes","67 years","Population","Number","42442"
"Population 2011 to 2016","2016","Both sexes","67 years","Population at or under this age","Number","4254442"
"Population 2011 to 2016","2016","Both sexes","67 years","Population at or over this age","Number","549865"
"Population 2011 to 2016","2016","Both sexes","68 years","Population","Number","41389"
"Population 2011 to 2016","2016","Both sexes","68 years","Population at or under this age","Number","4295831"
"Population 2011 to 2016","2016","Both sexes","68 years","Population at or over this age","Number","507423"
"Population 2011 to 2016","2016","Both sexes","69 years","Population","Number","39703"
"Population 2011 to 2016","2016","Both sexes","69 years","Population at or under this age","Number","4335534"
"Population 2011 to 2016","2016","Both sexes","69 years","Population at or over this age","Number","466034"
"Population 2011 to 2016","2016","Both sexes","70 years","Population","Number","37821"
"Population 2011 to 2016","2016","Both sexes","70 years","Population at or under this age","Number","4373355"
"Population 2011 to 2016","2016","Both sexes","70 years","Population at or over this age","Number","426331"
"Population 2011 to 2016","2016","Both sexes","71 years","Population","Number","34612"
"Population 2011 to 2016","2016","Both sexes","71 years","Population at or under this age","Number","4407967"
"Population 2011 to 2016","2016","Both sexes","71 years","Population at or over this age","Number","388510"
"Population 2011 to 2016","2016","Both sexes","72 years","Population","Number","32430"
"Population 2011 to 2016","2016","Both sexes","72 years","Population at or under this age","Number","4440397"
"Population 2011 to 2016","2016","Both sexes","72 years","Population at or over this age","Number","353898"
"Population 2011 to 2016","2016","Both sexes","73 years","Population","Number","30219"
"Population 2011 to 2016","2016","Both sexes","73 years","Population at or under this age","Number","4470616"
"Population 2011 to 2016","2016","Both sexes","73 years","Population at or over this age","Number","321468"
"Population 2011 to 2016","2016","Both sexes","74 years","Population","Number","27190"
"Population 2011 to 2016","2016","Both sexes","74 years","Population at or under this age","Number","4497806"
"Population 2011 to 2016","2016","Both sexes","74 years","Population at or over this age","Number","291249"
"Population 2011 to 2016","2016","Both sexes","75 years","Population","Number","25449"
"Population 2011 to 2016","2016","Both sexes","75 years","Population at or under this age","Number","4523255"
"Population 2011 to 2016","2016","Both sexes","75 years","Population at or over this age","Number","264059"
"Population 2011 to 2016","2016","Both sexes","76 years","Population","Number","24710"
"Population 2011 to 2016","2016","Both sexes","76 years","Population at or under this age","Number","4547965"
"Population 2011 to 2016","2016","Both sexes","76 years","Population at or over this age","Number","238610"
"Population 2011 to 2016","2016","Both sexes","77 years","Population","Number","23342"
"Population 2011 to 2016","2016","Both sexes","77 years","Population at or under this age","Number","4571307"
"Population 2011 to 2016","2016","Both sexes","77 years","Population at or over this age","Number","213900"
"Population 2011 to 2016","2016","Both sexes","78 years","Population","Number","21489"
"Population 2011 to 2016","2016","Both sexes","78 years","Population at or under this age","Number","4592796"
"Population 2011 to 2016","2016","Both sexes","78 years","Population at or over this age","Number","190558"
"Population 2011 to 2016","2016","Both sexes","79 years","Population","Number","20477"
"Population 2011 to 2016","2016","Both sexes","79 years","Population at or under this age","Number","4613273"
"Population 2011 to 2016","2016","Both sexes","79 years","Population at or over this age","Number","169069"
"Population 2011 to 2016","2016","Both sexes","80 years","Population","Number","19287"
"Population 2011 to 2016","2016","Both sexes","80 years","Population at or under this age","Number","4632560"
"Population 2011 to 2016","2016","Both sexes","80 years","Population at or over this age","Number","148592"
"Population 2011 to 2016","2016","Both sexes","81 years","Population","Number","17821"
"Population 2011 to 2016","2016","Both sexes","81 years","Population at or under this age","Number","4650381"
"Population 2011 to 2016","2016","Both sexes","81 years","Population at or over this age","Number","129305"
"Population 2011 to 2016","2016","Both sexes","82 years","Population","Number","16339"
"Population 2011 to 2016","2016","Both sexes","82 years","Population at or under this age","Number","4666720"
"Population 2011 to 2016","2016","Both sexes","82 years","Population at or over this age","Number","111484"
"Population 2011 to 2016","2016","Both sexes","83 years","Population","Number","14484"
"Population 2011 to 2016","2016","Both sexes","83 years","Population at or under this age","Number","4681204"
"Population 2011 to 2016","2016","Both sexes","83 years","Population at or over this age","Number","95145"
"Population 2011 to 2016","2016","Both sexes","84 years","Population","Number","13106"
"Population 2011 to 2016","2016","Both sexes","84 years","Population at or under this age","Number","4694310"
"Population 2011 to 2016","2016","Both sexes","84 years","Population at or over this age","Number","80661"
"Population 2011 to 2016","2016","Both sexes","85 years","Population","Number","11947"
"Population 2011 to 2016","2016","Both sexes","85 years","Population at or under this age","Number","4706257"
"Population 2011 to 2016","2016","Both sexes","85 years","Population at or over this age","Number","67555"
"Population 2011 to 2016","2016","Both sexes","86 years","Population","Number","10331"
"Population 2011 to 2016","2016","Both sexes","86 years","Population at or under this age","Number","4716588"
"Population 2011 to 2016","2016","Both sexes","86 years","Population at or over this age","Number","55608"
"Population 2011 to 2016","2016","Both sexes","87 years","Population","Number","8785"
"Population 2011 to 2016","2016","Both sexes","87 years","Population at or under this age","Number","4725373"
"Population 2011 to 2016","2016","Both sexes","87 years","Population at or over this age","Number","45277"
"Population 2011 to 2016","2016","Both sexes","88 years","Population","Number","7378"
"Population 2011 to 2016","2016","Both sexes","88 years","Population at or under this age","Number","4732751"
"Population 2011 to 2016","2016","Both sexes","88 years","Population at or over this age","Number","36492"
"Population 2011 to 2016","2016","Both sexes","89 years","Population","Number","6421"
"Population 2011 to 2016","2016","Both sexes","89 years","Population at or under this age","Number","4739172"
"Population 2011 to 2016","2016","Both sexes","89 years","Population at or over this age","Number","29114"
"Population 2011 to 2016","2016","Both sexes","90 years","Population","Number","5378"
"Population 2011 to 2016","2016","Both sexes","90 years","Population at or under this age","Number","4744550"
"Population 2011 to 2016","2016","Both sexes","90 years","Population at or over this age","Number","22693"
"Population 2011 to 2016","2016","Both sexes","91 years","Population","Number","4378"
"Population 2011 to 2016","2016","Both sexes","91 years","Population at or under this age","Number","4748928"
"Population 2011 to 2016","2016","Both sexes","91 years","Population at or over this age","Number","17315"
"Population 2011 to 2016","2016","Both sexes","92 years","Population","Number","3418"
"Population 2011 to 2016","2016","Both sexes","92 years","Population at or under this age","Number","4752346"
"Population 2011 to 2016","2016","Both sexes","92 years","Population at or over this age","Number","12937"
"Population 2011 to 2016","2016","Both sexes","93 years","Population","Number","2733"
"Population 2011 to 2016","2016","Both sexes","93 years","Population at or under this age","Number","4755079"
"Population 2011 to 2016","2016","Both sexes","93 years","Population at or over this age","Number","9519"
"Population 2011 to 2016","2016","Both sexes","94 years","Population","Number","2067"
"Population 2011 to 2016","2016","Both sexes","94 years","Population at or under this age","Number","4757146"
"Population 2011 to 2016","2016","Both sexes","94 years","Population at or over this age","Number","6786"
"Population 2011 to 2016","2016","Both sexes","95 years","Population","Number","1551"
"Population 2011 to 2016","2016","Both sexes","95 years","Population at or under this age","Number","4758697"
"Population 2011 to 2016","2016","Both sexes","95 years","Population at or over this age","Number","4719"
"Population 2011 to 2016","2016","Both sexes","96 years","Population","Number","1210"
"Population 2011 to 2016","2016","Both sexes","96 years","Population at or under this age","Number","4759907"
"Population 2011 to 2016","2016","Both sexes","96 years","Population at or over this age","Number","3168"
"Population 2011 to 2016","2016","Both sexes","97 years","Population","Number","734"
"Population 2011 to 2016","2016","Both sexes","97 years","Population at or under this age","Number","4760641"
"Population 2011 to 2016","2016","Both sexes","97 years","Population at or over this age","Number","1958"
"Population 2011 to 2016","2016","Both sexes","98 years","Population","Number","450"
"Population 2011 to 2016","2016","Both sexes","98 years","Population at or under this age","Number","4761091"
"Population 2011 to 2016","2016","Both sexes","98 years","Population at or over this age","Number","1224"
"Population 2011 to 2016","2016","Both sexes","99 years","Population","Number","318"
"Population 2011 to 2016","2016","Both sexes","99 years","Population at or under this age","Number","4761409"
"Population 2011 to 2016","2016","Both sexes","99 years","Population at or over this age","Number","774"
"Population 2011 to 2016","2016","Both sexes","100 years and over","Population","Number","456"
"Population 2011 to 2016","2016","Both sexes","100 years and over","Population at or under this age","Number","4761865"
"Population 2011 to 2016","2016","Both sexes","100 years and over","Population at or over this age","Number","456"
"Population 2011 to 2016","2016","Male","All ages","Population","Number","2354428"
"Population 2011 to 2016","2016","Male","All ages","Population at or under this age","Number","2354428"
"Population 2011 to 2016","2016","Male","All ages","Population at or over this age","Number","2354428"
"Population 2011 to 2016","2016","Male","Under 1 year","Population","Number","31876"
"Population 2011 to 2016","2016","Male","Under 1 year","Population at or under this age","Number","31876"
"Population 2011 to 2016","2016","Male","Under 1 year","Population at or over this age","Number","2354428"
"Population 2011 to 2016","2016","Male","1 year","Population","Number","32824"
"Population 2011 to 2016","2016","Male","1 year","Population at or under this age","Number","64700"
"Population 2011 to 2016","2016","Male","1 year","Population at or over this age","Number","2322552"
"Population 2011 to 2016","2016","Male","2 years","Population","Number","34031"
"Population 2011 to 2016","2016","Male","2 years","Population at or under this age","Number","98731"
"Population 2011 to 2016","2016","Male","2 years","Population at or over this age","Number","2289728"
"Population 2011 to 2016","2016","Male","3 years","Population","Number","34785"
"Population 2011 to 2016","2016","Male","3 years","Population at or under this age","Number","133516"
"Population 2011 to 2016","2016","Male","3 years","Population at or over this age","Number","2255697"
"Population 2011 to 2016","2016","Male","4 years","Population","Number","36215"
"Population 2011 to 2016","2016","Male","4 years","Population at or under this age","Number","169731"
"Population 2011 to 2016","2016","Male","4 years","Population at or over this age","Number","2220912"
"Population 2011 to 2016","2016","Male","5 years","Population","Number","36831"
"Population 2011 to 2016","2016","Male","5 years","Population at or under this age","Number","206562"
"Population 2011 to 2016","2016","Male","5 years","Population at or over this age","Number","2184697"
"Population 2011 to 2016","2016","Male","6 years","Population","Number","37033"
"Population 2011 to 2016","2016","Male","6 years","Population at or under this age","Number","243595"
"Population 2011 to 2016","2016","Male","6 years","Population at or over this age","Number","2147866"
"Population 2011 to 2016","2016","Male","7 years","Population","Number","36853"
"Population 2011 to 2016","2016","Male","7 years","Population at or under this age","Number","280448"
"Population 2011 to 2016","2016","Male","7 years","Population at or over this age","Number","2110833"
"Population 2011 to 2016","2016","Male","8 years","Population","Number","36444"
"Population 2011 to 2016","2016","Male","8 years","Population at or under this age","Number","316892"
"Population 2011 to 2016","2016","Male","8 years","Population at or over this age","Number","2073980"
"Population 2011 to 2016","2016","Male","9 years","Population","Number","34309"
"Population 2011 to 2016","2016","Male","9 years","Population at or under this age","Number","351201"
"Population 2011 to 2016","2016","Male","9 years","Population at or over this age","Number","2037536"
"Population 2011 to 2016","2016","Male","10 years","Population","Number","33167"
"Population 2011 to 2016","2016","Male","10 years","Population at or under this age","Number","384368"
"Population 2011 to 2016","2016","Male","10 years","Population at or over this age","Number","2003227"
"Population 2011 to 2016","2016","Male","11 years","Population","Number","33016"
"Population 2011 to 2016","2016","Male","11 years","Population at or under this age","Number","417384"
"Population 2011 to 2016","2016","Male","11 years","Population at or over this age","Number","1970060"
"Population 2011 to 2016","2016","Male","12 years","Population","Number","32896"
"Population 2011 to 2016","2016","Male","12 years","Population at or under this age","Number","450280"
"Population 2011 to 2016","2016","Male","12 years","Population at or over this age","Number","1937044"
"Population 2011 to 2016","2016","Male","13 years","Population","Number","32317"
"Population 2011 to 2016","2016","Male","13 years","Population at or under this age","Number","482597"
"Population 2011 to 2016","2016","Male","13 years","Population at or over this age","Number","1904148"
"Population 2011 to 2016","2016","Male","14 years","Population","Number","31982"
"Population 2011 to 2016","2016","Male","14 years","Population at or under this age","Number","514579"
"Population 2011 to 2016","2016","Male","14 years","Population at or over this age","Number","1871831"
"Population 2011 to 2016","2016","Male","15 years","Population","Number","31483"
"Population 2011 to 2016","2016","Male","15 years","Population at or under this age","Number","546062"
"Population 2011 to 2016","2016","Male","15 years","Population at or over this age","Number","1839849"
"Population 2011 to 2016","2016","Male","16 years","Population","Number","31183"
"Population 2011 to 2016","2016","Male","16 years","Population at or under this age","Number","577245"
"Population 2011 to 2016","2016","Male","16 years","Population at or over this age","Number","1808366"
"Population 2011 to 2016","2016","Male","17 years","Population","Number","31540"
"Population 2011 to 2016","2016","Male","17 years","Population at or under this age","Number","608785"
"Population 2011 to 2016","2016","Male","17 years","Population at or over this age","Number","1777183"
